Commuter,Casual,Tourist/Visitor,Concession/Student,hour,event
0.4691544,0.21346396,0.18182847,0.13555326,8.0,False
0.46617368,0.21325679,0.18346202,0.13710746,8.0,False
0.46314162,0.21316749,0.1850036,0.13868725,8.5,False
0.46009102,0.21315362,0.18647324,0.14028206,8.5,False
0.45709658,0.21310142,0.18793485,0.14186719,8.5,False
0.45405442,0.21319716,0.1892733,0.14347517,9.0,False
0.4509725,0.21344058,0.19048381,0.14510316,9.0,False
0.44786972,0.21382043,0.19156872,0.1467411,9.0,False
0.44476563,0.21434262,0.19251035,0.14838141,9.5,False
0.4426727,0.21473481,0.19307534,0.14951715,9.5,False
0.4405615,0.21528114,0.19350009,0.1506573,9.5,False
0.43843618,0.21598162,0.19378275,0.15179953,10.0,False
0.4363005,0.21683612,0.19392191,0.15294142,10.0,False
0.4348768,0.21800686,0.19355905,0.15355733,10.0,False
0.43456563,0.21950512,0.19252662,0.15340266,10.5,False
0.4341889,0.22118396,0.19136319,0.1532639,10.5,False
0.4337205,0.22302824,0.19009769,0.15315358,10.5,False
0.43315876,0.2250369,0.18873341,0.15307088,11.0,False
0.43258604,0.22706625,0.18735883,0.15298887,11.0,False
0.43198937,0.22913593,0.18596287,0.15291184,11.0,False
0.43131617,0.23133238,0.18449596,0.15285553,11.5,False
0.43058515,0.2336542,0.18295327,0.15280746,11.5,False
0.42993578,0.23632666,0.1811251,0.1526124,11.5,False
0.42923832,0.23917066,0.17919262,0.15239833,12.0,False
0.428465,0.2421453,0.17719781,0.15219194,12.0,False
0.42761198,0.24526255,0.17513275,0.15199265,12.0,False
0.4266757,0.24851944,0.17300422,0.15180057,12.5,False
0.4251524,0.25307876,0.17004384,0.151725,12.5,False
0.42353603,0.25842655,0.16664438,0.15139307,12.5,False
0.42183766,0.26405022,0.16312887,0.15098317,13.0,False
0.42002323,0.2698301,0.15959796,0.1505487,13.0,False
0.4185139,0.27535477,0.15618776,0.14994353,13.0,False
0.416997,0.2809108,0.15280801,0.14928429,13.5,False
0.41538325,0.28657383,0.14943926,0.14860359,13.5,False
0.4136749,0.29233342,0.14608945,0.14790225,13.5,False
0.41187447,0.2981781,0.1427662,0.14718127,14.0,False
0.4099854,0.30409592,0.13947684,0.1464419,14.0,False
0.40801173,0.31007454,0.13622823,0.14568555,14.0,False
0.40595824,0.31610084,0.13302705,0.14491385,14.5,False
0.40383035,0.3221616,0.12987943,0.14412864,14.5,False
0.40163404,0.32824293,0.12679115,0.1433319,14.5,False
0.39937586,0.33433077,0.12376755,0.14252578,15.0,False
0.39706296,0.3404108,0.12081356,0.14171267,15.0,False
0.39470285,0.34646842,0.11793375,0.14089493,15.0,False
0.39231846,0.35247397,0.11513778,0.14006983,15.5,False
0.38990566,0.35842514,0.112424426,0.13924475,15.5,False
0.38747144,0.36430916,0.10979624,0.1384231,15.5,False
0.38502467,0.37011144,0.10725614,0.1376078,16.0,False
0.38267577,0.3757632,0.10479659,0.13676447,16.0,False
0.38032955,0.38130507,0.102430545,0.13593481,16.0,False
0.3779853,0.38672885,0.100160584,0.13512526,16.5,False
0.3755501,0.39224243,0.097919226,0.13428822,16.5,False
0.37335014,0.39791635,0.09558181,0.13315167,16.5,False
0.372488,0.40302697,0.09314723,0.13133782,17.0,False
0.3720833,0.40761542,0.09084357,0.12945774,17.0,False
0.37178278,0.41194904,0.088659026,0.12760916,17.0,False
0.37176594,0.4158797,0.08659938,0.12575494,17.5,False
0.3722449,0.41923168,0.084670775,0.12385267,17.5,False
0.37284184,0.4222986,0.08285833,0.12200122,17.5,False
0.37356126,0.4250737,0.08116082,0.12020424,18.0,False
0.3744072,0.4275509,0.079576895,0.11846499,18.0,False
