start,date,station_id,time,Commuter,Casual,Tourist/Visitor,Concession/Student
5616,2023-05-27,53,08:00:00,27.05328941345215,51.914390563964844,9.885034561157227,11.147290229797363
5617,2023-05-27,89,08:10:00,33.16905212402344,30.065160751342773,18.214963912963867,18.550819396972656
5618,2023-05-27,89,08:20:00,29.34260368347168,26.503280639648438,22.464473724365234,21.68964195251465
5619,2023-05-27,88,08:30:00,23.769886016845703,32.00072479248047,21.9010009765625,22.328386306762695
5620,2023-05-27,158,08:40:00,24.680927276611328,49.20771789550781,11.934534072875977,14.176825523376465
5621,2023-05-27,158,08:50:00,19.473228454589844,57.20059585571289,10.52850341796875,12.797676086425781
5622,2023-05-27,14,09:00:00,18.79996681213379,50.040828704833984,20.88720703125,10.27199935913086
5623,2023-05-27,65,09:10:00,16.7767391204834,51.61429214477539,22.066394805908203,9.542574882507324
5624,2023-05-27,159,09:20:00,18.54553985595703,35.930320739746094,25.989452362060547,19.53468894958496
5625,2023-05-27,172,09:30:00,21.228992462158203,26.08831214904785,16.7817440032959,35.90094757080078
5626,2023-05-27,176,09:40:00,30.101516723632812,40.742340087890625,9.124528884887695,20.031614303588867
5627,2023-05-27,25,09:50:00,33.19801712036133,40.25711441040039,11.427605628967285,15.11727237701416
5628,2023-05-27,65,10:00:00,15.680191040039062,48.14768600463867,26.859363555908203,9.31275749206543
5629,2023-05-27,65,10:10:00,14.100326538085938,53.979496002197266,22.015209197998047,9.9049654006958
5630,2023-05-27,65,10:20:00,16.7625789642334,49.79902648925781,23.090301513671875,10.34809398651123
5631,2023-05-27,65,10:30:00,11.852272987365723,44.6075325012207,33.360599517822266,10.179590225219727
5632,2023-05-27,65,10:40:00,15.329572677612305,47.548423767089844,27.79170036315918,9.330303192138672
5633,2023-05-27,44,10:50:00,16.241436004638672,54.11741638183594,20.29656219482422,9.344582557678223
5634,2023-05-27,14,11:00:00,15.598319053649902,50.918914794921875,24.01911163330078,9.463652610778809
5635,2023-05-27,65,11:10:00,18.394495010375977,46.4869270324707,26.30307960510254,8.815498352050781
5636,2023-05-27,152,11:20:00,20.516626358032227,50.871742248535156,13.777324676513672,14.834309577941895
5637,2023-05-27,65,11:30:00,13.217879295349121,53.956993103027344,22.523813247680664,10.301312446594238
5638,2023-05-27,65,11:40:00,15.715522766113281,47.23345947265625,28.090486526489258,8.960528373718262
5639,2023-05-27,170,11:50:00,20.52802848815918,53.59030532836914,15.550374031066895,10.331292152404785
