horizon,TDAG-Net (ours),AGCRN,TGALSTM,TDAG-Net (persona-split)
10,29.26843273843123,29.98863117872229,30.33865651194875,34.189315811269516
20,30.962907426927668,29.939133956843268,32.229596485011825,34.67739121330273
30,30.66181976654393,29.464413052563682,32.352665254623346,34.17732414208362
40,32.634367058667884,31.403975009895042,35.93757153593927,35.603607439555574
50,33.53843127732902,32.02789698926457,38.92091504338732,36.452540362154274
60,34.332822087680555,32.26111392205744,40.35805970583019,36.369335289979766
