RMSE,MAE,WMAPE,R2,NDE,EPE,n_peak_cells,step,minutes_ahead,model
36.1892447909967,15.148799333982348,19.37581378561489,0.9421337301150711,21.3449963240964,15.736525598222421,31536,1,10,LSTM
40.79853662525542,16.345518372302788,21.398505507109252,0.9236110346432439,24.546751017057208,18.000219931755016,31371,2,20,LSTM
43.840702151089445,17.39500125728874,23.4011316464755,0.9066811435545353,27.125452566844515,20.023056139803067,31457,3,30,LSTM
50.76822443565898,19.235272506924527,26.588779329393386,0.8675839985227936,32.304288512667426,23.59800379351537,31318,4,40,LSTM
55.114431959736265,20.56700145850425,29.17816068905883,0.8347817377796254,36.06498200787463,26.226651426706002,31570,5,50,LSTM
55.2866499613974,21.509695779052954,31.35301647880283,0.8197622720307647,37.56096532588716,28.02572935910143,31347,6,60,LSTM
32.42041447331467,14.320203698028175,18.316012649441237,0.9535587850028914,19.122079826621448,14.48052130948952,31536,1,10,TCN
36.536421490253645,15.459643870014203,20.238775360652028,0.9387376752254031,21.982416909050098,16.6069393633853,31371,2,20,TCN
38.92040445388536,16.33469280079668,21.974720839759108,0.9264523001054714,24.08112856536528,18.32894236863706,31457,3,30,TCN
44.39467385110916,17.898938406910066,24.741574280292213,0.8987445846123829,28.248739609350636,21.370685456471943,31318,4,40,TCN
48.72429036034892,19.100344267342525,27.097431551861952,0.8708725948867073,31.88349390004041,23.718764779901626,31570,5,50,TCN
50.659631650351955,20.03529112268814,29.203891081480965,0.8486685444363264,34.417434754496576,25.844104695488785,31347,6,60,TCN
33.474684454421684,14.557103317172677,18.61901507261878,0.9504892583912719,19.74390515072804,14.994113778220193,31536,1,10,ConvLSTM
34.95626130317197,15.026680801537138,19.67196784839348,0.9439221428368042,21.031701469532358,15.984943203051067,31371,2,20,ConvLSTM
36.02188386021658,15.624209575283603,21.018922605144006,0.9369990281133932,22.287733865466972,17.210575399884842,31457,3,30,ConvLSTM
40.98866512206408,16.944308917541957,23.421996778855583,0.9136854382358199,26.08146490390608,19.874930324734077,31318,4,40,ConvLSTM
45.04815831435152,18.02233453859036,25.568071953509165,0.8896222696248103,29.477959970300855,22.169351708204875,31570,5,50,ConvLSTM
47.642365165540895,19.02891130049449,27.736969211767683,0.8661581962049882,32.3675467273855,24.31740603944024,31347,6,60,ConvLSTM
37.09048016134304,15.416864247831791,19.718677648201837,0.9392157084881945,21.876559383184443,16.201905023237455,31536,1,10,SVR-LSTM
41.83137546763268,16.62777352934725,21.76801587654852,0.9196944158013788,25.168166391276444,18.475223933020917,31371,2,20,SVR-LSTM
45.26979798390642,17.864838535383534,24.033193917382842,0.9004980667696298,28.009673606301313,20.617611278812944,31457,3,30,SVR-LSTM
52.12817703326916,19.808489956186087,27.381133701325815,0.8603947999777071,33.16963886842841,24.115601889281212,31318,4,40,SVR-LSTM
56.642637462248246,21.262517171768657,30.164880570629265,0.8254924131020457,37.06498694292855,26.869677510785767,31570,5,50,SVR-LSTM
56.76860785453107,22.24945395353576,32.431304636531,0.8099702302623475,38.56778648573832,28.658772075223744,31347,6,60,SVR-LSTM
31.742530867577283,14.164254876242547,18.11654896493483,0.955480574742182,18.722253216362105,14.231125896135078,31536,1,10,STGCN
35.19089814710396,15.194480863630288,19.891640939880002,0.9431667936715532,21.172872517904256,16.13560212651758,31371,2,20,STGCN
36.786752274085835,16.039933335836874,21.57818709184237,0.9342951691889277,22.760979065983733,17.684874635323037,31457,3,30,STGCN
42.42108232408909,17.524374618931564,24.223817440623996,0.9075472125221182,26.992925154468285,20.646508100016977,31318,4,40,STGCN
47.07198484041426,18.750762155503743,26.60148356188236,0.8794818654224912,30.802282196879084,23.102792233862154,31570,5,50,STGCN
48.07428022241932,19.678233516489435,28.68343588183412,0.863720436088316,32.6609836870578,24.94615869265617,31347,6,60,STGCN
32.312779470840105,14.350934319293795,18.355318127191097,0.9538666405679334,19.058594977865077,14.60233171448113,31536,1,10,DCRNN
35.243401516741386,15.13525172358961,19.814101944145893,0.942997081561282,21.204461571057905,16.136931881382754,31371,2,20,DCRNN
36.65808149384013,15.778048796681537,21.225879294544406,0.9347540031894572,22.681366902513695,17.404480252741234,31457,3,30,DCRNN
41.127384138992326,17.030871732120687,23.541651937062284,0.9131002163367704,26.169733091238946,19.936041026737442,31318,4,40,DCRNN
43.81864232831503,18.005759485780423,25.544557122954313,0.8955652063098588,28.67340714560342,21.739005320423697,31570,5,50,DCRNN
45.21573477765057,18.80210114772079,27.406365630456282,0.8794452464923891,30.718928481897056,23.43673745650777,31347,6,60,DCRNN
31.22281362515603,13.937301114805013,17.826267621667306,0.9569264644191715,18.41571566098844,14.123727790325473,31536,1,10,Graph WaveNet
33.45226966057728,14.448888893537935,18.915559697628773,0.9486438292798178,20.126813416276708,15.37238765006542,31371,2,20,Graph WaveNet
33.93466154571798,14.776267400738378,19.878203719204453,0.9440884605831732,20.99631180536239,16.179854501494592,31457,3,30,Graph WaveNet
36.48501288951627,15.649164464283073,21.631727883263302,0.9316111142084685,23.21574953374721,17.975001573538012,31318,4,40,Graph WaveNet
38.51005905979508,16.2463202384281,23.048461560095518,0.9193367441142402,25.199653479660856,19.40710677828997,31570,5,50,Graph WaveNet
39.6023703572667,16.82889636911547,24.530177953273387,0.9075200650049909,26.90528836257669,20.87273658795585,31347,6,60,Graph WaveNet
29.98863117872229,13.181350874407041,16.859382341440188,0.9602644037861077,17.687775082660977,13.223204799017303,31536,1,10,AGCRN
29.939133956843268,13.173586373731817,17.246015338635342,0.9588642023693426,18.01310850080897,13.49089955037171,31371,2,20,AGCRN
29.464413052563682,13.101747180626953,17.62550666354352,0.9578487950443229,18.23044566925052,13.696360396101499,31457,3,30,AGCRN
31.403975009895042,13.631536906298173,18.842775769959413,0.949332932813413,19.982638361716802,14.92867322788234,31318,4,40,AGCRN
32.02789698926457,13.820494178053348,19.606970940467363,0.9442064205493367,20.95795035158367,15.530742662077111,31570,5,50,AGCRN
