variant,RMSE,MAE,WMAPE,R2,EPE,NDE,dRMSE,dWMAPE,dEPE
TDAG-Net (ours),31.948033171221734,14.001001789742356,19.07751428873318,0.948920483424028,16.078628983835152,20.058531676496138,0.0,0.0,0.0
TDAG-Net w/o PC-HGAT,34.65492956264104,15.503559629809734,21.124872691653643,0.9398980495724776,16.651209572648764,21.758053106228047,8.472810757745272,10.731788072252126,3.561128186919808
TDAG-Net w/o EC-AAM,34.65492956264104,15.503559629809734,21.124872691653643,0.9398980495724776,16.651209572648764,21.758053106228047,8.472810757745272,10.731788072252126,3.561128186919808
TDAG-Net w/o Adaptive,34.6814311763024,15.613809454460528,21.275097128211236,0.9398060910707617,17.311312511337217,21.774692110396334,8.555763011861595,11.51923047320639,7.6665960060485165
TDAG-Net (persona-split),35.257749440171885,15.845835715004933,21.591251955370833,0.9377889259604313,16.7106683829224,22.136532793658887,10.359687093136893,13.176442321535665,3.9309284375096665
