a,b,cosine,mean_abs_diff,frac_gt_0.2
Commuter,Casual,0.9829422235488892,0.12754420936107635,0.2085469148323785
Commuter,Tourist/Visitor,0.9730349779129028,0.192389115691185,0.44187385214221103
Commuter,Concession/Student,0.9936953186988831,0.08449605107307434,0.047367122611770514
Casual,Tourist/Visitor,0.9913206100463867,0.07894153892993927,0.04742194567034895
Casual,Concession/Student,0.987829327583313,0.0746237263083458,0.06929634604314575
Tourist/Visitor,Concession/Student,0.9839012622833252,0.12168408930301666,0.1632082453880102
