station_id,venue_proximal,event_ratio
0,False,4.144736842105264
1,True,1.1419704393877526
2,True,0.7830818486942676
3,False,0.5985781789384307
4,True,0.7346821493770928
5,False,0.8630832783930344
6,False,0.9839610112033356
7,False,1.125551306829803
8,False,0.9502707851708659
9,False,1.2457057919140924
10,False,0.9038377046134455
11,False,0.846756522570926
12,False,1.246722790766378
13,False,0.864399069886192
14,False,1.3360365867025275
15,True,1.4525613340024497
16,False,0.8692530213151353
17,False,0.943973860511647
18,False,0.6733476715920375
19,False,0.7945407868608634
20,False,0.817705007600478
21,False,0.8846986710544263
22,False,1.0822818658940407
23,False,1.0487963050445182
24,False,0.8054377648254153
25,False,0.8728631575485073
26,False,1.1890612627106272
27,False,0.8157609681216836
28,False,1.2104069029709172
29,True,1.4861221581983874
30,False,1.2643285910343562
31,False,1.1470739165466082
32,False,0.9862240150109375
33,False,0.9334047095364778
34,False,0.7688283266818706
35,False,0.886162933019431
36,False,1.1249325572404085
37,False,1.2079678401875895
38,False,1.1637809981855824
39,False,1.0041786082050448
40,False,0.9301561662573623
41,False,0.8751754092224895
42,True,0.6582062684678197
43,True,0.7566330501199444
44,False,1.2152072261319942
45,True,0.8754801489977736
46,False,0.8874151073081358
47,False,0.8994617323522013
48,False,1.2386513829239485
49,False,0.7599256455871716
50,False,0.9378921079589964
51,False,0.9533739744458413
52,False,1.154826859338618
53,False,1.1667068118953399
54,False,1.126553221646994
55,False,1.136875878391313
56,False,0.8503455355863357
57,False,0.998737699120573
58,False,0.8309751941683946
59,False,0.7904607858588467
60,False,0.7543420416028621
61,False,0.9848139915753629
62,False,0.9852437451517332
63,False,0.9108582575320068
64,False,0.8179845693871416
65,False,1.0311332588860957
66,False,1.0063957821477734
67,False,0.9195840851457325
68,False,0.8606083787973346
69,False,0.8577661969870524
70,False,1.1869626545406056
71,False,1.204684128142002
72,False,0.9922816776684529
73,False,0.9497870727014658
74,False,0.8618726390864998
75,False,1.158290202099335
76,False,0.9316226566319183
77,False,1.0218273036974863
78,False,0.9981072408568693
79,False,0.6608875553512231
80,False,0.7510033630356848
81,False,0.82589182253424
82,False,0.8973780144200767
83,False,1.0434399828962073
84,False,0.9826593469042015
85,False,0.9383745407007884
86,False,1.0994447438677413
87,False,1.1086662799758464
88,False,1.3356052065183972
89,False,1.088696703401846
90,False,0.8244550911149661
91,False,0.8893462043716149
92,False,0.7933994053505653
93,False,0.8284060014466591
94,False,1.0423158838695215
95,False,0.89293568028104
96,False,0.9158081875357923
97,False,1.2774171514720607
98,False,1.6073069881855286
99,False,0.9480796996773184
100,False,0.9149691609789029
101,True,1.4701730113024798
102,True,1.3467453178676654
103,True,0.870764498297992
104,False,1.045668252904374
105,False,0.9371211464024726
106,False,1.06522520846235
107,False,0.863854965709809
108,False,0.8870175884067815
109,False,0.7811229403724488
110,False,0.7768624529571313
111,False,0.9909321333206825
112,False,0.9924387276203719
113,False,0.9009948195847998
114,False,0.8754788823774837
115,False,0.9735573350762153
116,False,0.857066704732251
117,False,1.019416155273976
118,False,1.1687644689471388
119,False,0.9779141940489422
120,False,0.7997267844713851
121,False,0.8235919826036189
122,False,0.6646210379884976
123,False,0.7071369491192404
124,False,0.6396227911630282
125,False,0.817599375814108
126,False,1.579425599135627
127,False,0.822925651198896
128,False,1.0191417196080899
129,False,0.8571945270101171
130,False,0.9232961622415342
131,False,0.9734920244041
132,False,0.8835541756759253
133,False,0.9406539343156328
134,False,0.8894438927687724
135,False,0.8993123195791107
136,False,0.9142247115564827
137,False,0.8711470495370859
138,False,0.9665973426411499
139,False,1.0659253745231227
140,False,0.9425972759270754
141,False,1.008796298120558
142,False,0.9779809425701776
143,False,1.1412471825694968
144,False,1.0228783625888074
145,False,1.1033656817284727
146,False,1.187540471807151
147,False,1.4218788415965753
148,False,1.2403236663487966
149,False,1.417869258910356
150,False,1.3742553944110365
151,False,1.2920673076923077
152,False,1.2879499078928722
153,False,1.034622685115835
154,False,1.1307533298354522
155,False,1.006210613252989
156,False,1.2118759110715844
157,False,1.0105882995873978
158,False,1.1061667432246212
159,False,1.1756705896077708
160,False,1.801794387557681
161,False,0.86947293951185
162,False,0.8367005190130548
163,False,0.8325634135726805
164,False,1.1021106279484776
165,False,0.9559221480559195
166,False,0.8484370142511417
167,False,1.1101829319967553
168,False,1.156541963382461
169,False,1.1008377585038773
170,False,1.2075615541812263
171,False,0.9782989020540908
172,False,0.9997404238750461
173,False,1.151236907689225
174,False,1.1683277540310204
175,False,1.2638192548504494
176,False,1.09674453494158
177,False,1.196225134420528
178,False,0.9361437252971011
179,False,0.9276538044833392
180,False,0.9276201990584942
181,False,0.9818134500757777
182,False,0.9401275256443437
183,False,0.9556847394250993
184,False,0.9600161471568708
185,False,1.0992693668246247
186,False,0.9584549590482573
187,False,0.9755548714461918
188,False,1.0127245172247028
189,False,0.8766929182686345
190,False,0.99861003262775
