hour,actual,baseline_median,excess_Commuter,excess_Casual,excess_Tourist/Visitor,excess_Concession/Student
22.333334,4,6.0,0.21589088,0.0,0.0,0.0
22.5,9,4.0,1.569076,1.1437795,0.11770949,0.59800625
22.666666,4,5.0,0.0,0.12995505,0.002207756,0.0
22.833334,6,7.0,0.0,0.0,0.0,0.0
23.0,6,7.0,0.39048672,0.0,0.0,0.0
23.166666,6,3.0,0.6762173,1.2265809,0.18264395,0.20027235
23.333334,3,2.0,0.0,0.32211983,0.01895769,0.0
23.5,1,3.0,0.0,0.0,0.0,0.0
23.666666,0,0.0,0.0,0.0,0.0,0.0
23.833334,0,0.0,0.0,0.0,0.0,0.0
