label,pc1,pc2,persona,volume
card_121,-2.729051789071099,-0.661324159921744,Casual,86849051.0
card_100,-0.04421338982457155,2.4786048170837764,Commuter,37431665.0
card_53,0.6708375482045971,1.930412264204417,Commuter,10857361.0
card_51,-4.914092346019791,-3.0760153771942234,Tourist/Visitor,9698921.0
card_52,0.8418182531576998,1.8452672927818332,Commuter,8764832.0
card_113,1.885063506427239,-2.3080648774029453,Concession/Student,4277455.0
card_108,0.9221147840391541,1.3923637161079883,Commuter,3879682.0
card_55,2.590364864812139,-2.956986171408191,Concession/Student,3439929.0
card_103,-1.368697062055754,-0.4914901081577743,Casual,3048396.0
card_80,0.9438501539826849,1.7003838784580316,Commuter,2862336.0
card_120,0.029423759209792913,2.0051352720291686,Commuter,2343660.0
card_123,-2.4514408046376626,-1.133310240203086,Casual,2272571.0
card_85,2.061859978780808,-2.5078103441852,Concession/Student,1955397.0
card_102,0.4788001929982381,2.5049003812059256,Commuter,1854985.0
card_104,2.8575134031987233,-3.027791608319707,Concession/Student,1770415.0
card_56,1.7669422849967873,-0.22258797622513846,Concession/Student,1747453.0
card_101,-1.970065761193667,0.11601219481168644,Casual,1375977.0
card_59,2.254458981470507,-1.620881107320702,Concession/Student,1283239.0
card_118,-5.41097785720235,-1.5949885817728622,Tourist/Visitor,1217271.0
card_54,-1.6111188987694696,-0.5724850521428521,Casual,917511.0
card_119,-0.05397716177670608,3.0327614445003874,Commuter,847844.0
card_83,1.9184535844712778,-1.473292630630817,Concession/Student,633230.0
card_111,1.6641930998330667,-1.4729545515162663,Concession/Student,472105.0
card_122,-0.24857739176346189,4.5377696846981435,Commuter,315292.0
OTHER,-0.08348193326818372,1.5763718405201486,Commuter,795349.0
