lag_days,acf,persona
0.009259259259259259,0.9727284139402165,Commuter
0.018518518518518517,0.9127238644625961,Commuter
0.027777777777777776,0.8297613678883878,Commuter
0.037037037037037035,0.7148196990931566,Commuter
0.046296296296296294,0.5862476335413216,Commuter
0.05555555555555555,0.4588711298457684,Commuter
0.06481481481481481,0.3310961384152311,Commuter
0.07407407407407407,0.21072121717818804,Commuter
0.08333333333333333,0.10422081499638328,Commuter
0.09259259259259259,0.009705636634891605,Commuter
0.10185185185185185,-0.07092321527682961,Commuter
0.1111111111111111,-0.13729506669194538,Commuter
0.12037037037037036,-0.1927776098651789,Commuter
0.12962962962962962,-0.2369387388820699,Commuter
0.1388888888888889,-0.27035173254208955,Commuter
0.14814814814814814,-0.296127859859761,Commuter
0.1574074074074074,-0.31410674018110585,Commuter
0.16666666666666666,-0.3250736214869881,Commuter
0.17592592592592593,-0.33188581890102825,Commuter
0.18518518518518517,-0.33425024188467384,Commuter
0.19444444444444445,-0.33369520413986664,Commuter
0.2037037037037037,-0.33208901302334426,Commuter
0.21296296296296297,-0.3283956898735308,Commuter
0.2222222222222222,-0.3240765996138723,Commuter
0.23148148148148148,-0.3205013666949188,Commuter
0.24074074074074073,-0.3162336927193243,Commuter
0.25,-0.31199984953281495,Commuter
0.25925925925925924,-0.30875219415378546,Commuter
0.26851851851851855,-0.30492974188766325,Commuter
0.2777777777777778,-0.3003502717375979,Commuter
0.28703703703703703,-0.2957245528952991,Commuter
0.2962962962962963,-0.28944983572562577,Commuter
0.3055555555555556,-0.2808537795752223,Commuter
0.3148148148148148,-0.2703118716506615,Commuter
0.32407407407407407,-0.255580488090483,Commuter
0.3333333333333333,-0.23642678409001464,Commuter
0.3425925925925926,-0.21300529401709428,Commuter
0.35185185185185186,-0.18282618633760775,Commuter
0.3611111111111111,-0.14641573224082294,Commuter
0.37037037037037035,-0.10494326440998618,Commuter
0.37962962962962965,-0.057124384074317074,Commuter
0.3888888888888889,-0.004224001730750452,Commuter
0.39814814814814814,0.051080613622951916,Commuter
0.4074074074074074,0.1080659202607038,Commuter
0.4166666666666667,0.16348743717377817,Commuter
0.42592592592592593,0.2136230397613026,Commuter
0.4351851851851852,0.25913313010837075,Commuter
0.4444444444444444,0.2966320131710859,Commuter
0.4537037037037037,0.3231673558884056,Commuter
0.46296296296296297,0.3454831144773153,Commuter
0.4722222222222222,0.3623899419364164,Commuter
0.48148148148148145,0.36995773705144086,Commuter
0.49074074074074076,0.38172582470519606,Commuter
0.5,0.39708200233376456,Commuter
0.5092592592592593,0.4049834239432462,Commuter
0.5185185185185185,0.4163114271316245,Commuter
0.5277777777777778,0.42878880473121245,Commuter
0.5370370370370371,0.4276171470110172,Commuter
0.5462962962962963,0.4175613824905277,Commuter
0.5555555555555556,0.3992278602325931,Commuter
