label,Commuter,Casual,Tourist/Visitor,Concession/Student
card_121,0.11852386478801141,0.7010972616497335,0.10134516438636963,0.07903370917588538
card_100,0.7048668627538677,0.16139794193505752,0.033007374500812335,0.10072782081026242
card_53,0.699714373211648,0.13362883454242783,0.03164834527202009,0.13500844697390407
card_51,0.03547310846940427,0.1016390253776563,0.8214725061477051,0.041415360005234464
card_52,0.6891980356188168,0.13519888661456897,0.03024706563943311,0.14535601212718105
card_113,0.1225528075288001,0.11819121750322728,0.038492225369996635,0.7207637495979761
card_108,0.6147165815620615,0.16637619287411115,0.03312678339948114,0.18578044216434617
card_55,0.1245605371223622,0.10409543626547423,0.05172170186553514,0.7196223247466285
card_103,0.21312689028243334,0.5487796955719821,0.0823946832769464,0.15569873086863803
card_80,0.6595465668459422,0.1475806320492926,0.030650014703425696,0.1622227864013396
card_120,0.661012482510413,0.17426208523681871,0.03949553552047204,0.1252298967322963
card_123,0.13771614623962553,0.5957239976384461,0.14974256145951217,0.11681729466241608
card_85,0.11883603900269989,0.10704512828895889,0.0425524747960768,0.7315663579122644
card_102,0.7404639856936751,0.12693146050653237,0.02796617619870452,0.10463837760108802
card_104,0.1112974696596407,0.09261234596124175,0.04215009415555555,0.753940090223562
card_56,0.324935123641834,0.16137175277799837,0.0452265119167189,0.4684666116634488
card_101,0.225617832269779,0.5688283088278829,0.09066233797804521,0.11489152092429279
card_59,0.2032303215541893,0.18261509226632486,0.04307390068368511,0.5710806854958008
card_118,0.07589205477550644,0.3410873295180873,0.526491229915187,0.05652938579121935
card_54,0.18810374796024826,0.5883020720080748,0.08321880425891923,0.1403753757727578
card_119,0.6837690341701197,0.15731317344141205,0.044910865293805294,0.11400692709466297
card_83,0.17652633928070718,0.13435277355635486,0.03758917696583439,0.6515317101971035
card_111,0.19544621192950562,0.1692172307943107,0.042924036591464494,0.5924125206847192
card_122,0.661801360598337,0.16077578539544057,0.061630463415851884,0.11579239059037051
OTHER,0.6218187128101199,0.1916923987818908,0.04617247750543884,0.14031641090255045
