card_channel,volume,share_pct,weekend_ratio,am_share,pm_share,mid_share,late_share,peak_concentration,ampm_asymmetry,spatial_entropy,station_hhi,io_balance,daily_burstiness,label,cum_pct
121,86849051.0,45.491684236155656,1.2518693726015229,0.16730003186793596,0.22884468823959853,0.3306113154880644,0.08395377860835805,0.3961447201075345,-0.15535902221530584,0.8688419941747242,0.019369979107700424,-0.0009203669939928301,0.20815515728447045,card_121,45.491684236155656
100,37431665.0,19.60677134645443,0.6955723881961272,0.30178996846653766,0.27278425899569253,0.20029557862307226,0.06605020107975428,0.5745742274622302,0.05048209279931866,0.8958751590003271,0.013363070941034994,-0.0009789305391571547,0.2075485950866513,card_100,65.09845558261009
53,10857361.0,5.687104609236908,0.6711649477280883,0.3044443304408871,0.2543662313521674,0.22840596347491812,0.04660543201980666,0.5588105617930545,0.08961552002173002,0.8999372029842392,0.012311962256901864,-0.002193626978047428,0.2183674199427971,card_53,70.785560191847
51,9698921.0,5.080311718816813,1.2740416416335911,0.13023582726367178,0.167719068956227,0.45855502895631317,0.05150407968061597,0.2979548962198988,-0.12580173096028463,0.7887229300343461,0.041236171374567705,-0.003633290754713849,0.4098264526016888,card_51,75.86587191066381
52,8764832.0,4.591034273097039,0.6845333077106461,0.30413851628873223,0.2513316855360149,0.2271749190400912,0.04967784893081809,0.5554702018247472,0.09506690112132793,0.9081363051991659,0.011809798736864777,-0.0028139729318257325,0.2118671260458683,card_52,80.45690618376085
113,4277455.0,2.2405383818686193,0.900024655650124,0.21374508907750056,0.14371957156767284,0.398518511591589,0.03458738899649441,0.3574646606451734,0.19589493793160284,0.9067054878620616,0.01150793111782855,-0.007434093403671108,0.10433287559996414,card_113,82.69744456562947
108,3879682.0,2.0321841914046574,0.7383555619119271,0.2878854504054713,0.24478217544633804,0.23805894400623548,0.05243522536125382,0.5326676258518094,0.08091964457236378,0.9130678503783076,0.011529695660634689,-0.0033698638187356594,0.17403881262586493,card_108,84.72962875703412
55,3439929.0,1.801840803796402,0.8505415580749813,0.23150797589136293,0.10141343033533545,0.45678617204017896,0.014653500115845416,0.3329214062266984,0.3907665386569986,0.8974595452670147,0.0122382965098014,-0.006745778764619851,0.14496456430595395,card_55,86.53146956083052
103,3048396.0,1.5967551362047694,1.279291545763045,0.1739429522935997,0.23165920700591394,0.25572169757472457,0.06317617527381615,0.40560215929951365,-0.14229770081104062,0.8942579352703753,0.012755170290081158,-0.0030842449603004332,0.18966754462525093,card_103,88.12822469703528
80,2862336.0,1.4992965840211754,0.7286530084509624,0.2994260631875501,0.2511644335256237,0.2321139097576243,0.05004339113227794,0.5505904967131738,0.08765430923713886,0.915016236214021,0.011163929812284057,-0.002948640550934621,0.1950923647399042,card_80,89.62752128105646
120,2343660.0,1.2276131915006023,0.7409952050702933,0.3143024158794366,0.24580613228881337,0.22484660744305932,0.06330355085635293,0.56010854816825,0.1222910877090341,0.8831053241994054,0.015104007956983252,-0.0007996040381283974,0.19263319641591595,card_120,90.85513447255707
