date,station_id,robust_z,peak_flow,baseline_peak,surge_ratio,peak_time,peak_bin,day_total,weekday
2023-05-06,130,13.82706069946289,328.0,143.5,2.2857143878936768,08:20:00,14,8716.0,Saturday
2023-05-01,150,13.714646339416504,227.0,105.0,2.161904811859131,21:40:00,94,9518.0,Monday
2023-03-31,118,13.608843803405762,653.0,310.0,2.1064515113830566,22:00:00,96,14052.0,Friday
2023-05-06,110,13.46483325958252,436.0,166.5,2.6186187267303467,08:40:00,16,11101.0,Saturday
2023-05-06,184,13.42236614227295,201.0,101.5,1.9802955389022827,08:00:00,12,6555.0,Saturday
2023-05-06,11,13.414107322692871,1932.0,957.5,2.017754554748535,08:40:00,16,72127.0,Saturday
2023-05-06,166,13.367180824279785,188.0,79.0,2.379746913909912,08:00:00,12,5002.0,Saturday
2023-05-13,126,13.3549165725708,181.0,32.5,5.569230556488037,13:50:00,47,5168.0,Saturday
2023-05-06,27,13.152570724487305,874.0,406.0,2.1527092456817627,08:10:00,13,28959.0,Saturday
2023-05-06,129,13.022860527038574,210.0,84.5,2.4852070808410645,08:20:00,14,5419.0,Saturday
2023-05-06,35,12.98394775390625,459.0,228.0,2.013157844543457,07:50:00,11,15429.0,Saturday
2023-05-06,80,12.882773399353027,164.0,68.5,2.394160509109497,08:00:00,12,3509.0,Saturday
2023-05-20,19,12.856202125549316,1308.0,364.5,3.588477373123169,22:10:00,97,28760.0,Saturday
2023-05-06,171,12.815323829650879,218.0,123.0,1.772357702255249,19:00:00,78,7898.0,Saturday
2023-05-02,14,12.473094940185547,3420.0,1543.0,2.216461420059204,17:50:00,71,170067.0,Tuesday
2023-05-01,174,12.410630226135254,208.0,116.0,1.7931034564971924,15:30:00,57,11449.0,Monday
2023-03-26,57,12.075560569763184,349.0,71.5,4.8811187744140625,14:30:00,51,10174.0,Sunday
2023-05-06,187,12.03965950012207,405.0,226.5,1.7880795001983643,07:40:00,10,14482.0,Saturday
2023-05-06,19,11.943255424499512,1241.0,364.5,3.4046640396118164,08:40:00,16,26916.0,Saturday
2023-05-06,33,11.788925170898438,1485.0,681.0,2.180616855621338,08:00:00,12,47242.0,Saturday
2023-03-25,42,11.261951446533203,562.0,286.5,1.9616055488586426,08:50:00,17,14928.0,Saturday
2023-05-01,94,11.042825698852539,727.0,375.0,1.9386667013168335,21:40:00,94,26317.0,Monday
2023-05-06,189,11.037121772766113,158.0,68.0,2.3235294818878174,07:50:00,11,4398.0,Saturday
2023-05-06,58,10.791851997375488,285.0,141.0,2.0212767124176025,08:40:00,16,8620.0,Saturday
2023-05-06,10,10.459640502929688,2143.0,1104.0,1.9411232471466064,08:40:00,16,59598.0,Saturday
2023-05-06,131,10.442977905273438,470.0,245.5,1.914460301399231,08:10:00,13,13921.0,Saturday
2023-05-06,116,10.41245174407959,857.0,363.0,2.3608815670013428,08:20:00,14,20373.0,Saturday
2023-05-01,146,10.388169288635254,411.0,270.5,1.5194084644317627,10:30:00,27,22636.0,Monday
2023-03-15,98,10.265978813171387,1586.0,688.0,2.305232524871826,15:30:00,57,81664.0,Wednesday
